1	2	0
2	5	0
3	1.58	0
4	1.26	0
5	2	0
6	3.16	0
7	3	0
8	1.5	0
9	1.5	0
10	1.26	0
11	3.16	0
12	2.5	2.5
13	2	0
14	2	0
15	2	0
16	2	0
17	5	0
18	1.58	0
19	1.58	0
20	3.16	0
21	2	0
22	5	0
23	1.58	0
24	3.16	0
25	2	0
26	3.16	0
27	2	0
28	1.58	0
29	5	0
30	10	0
31	2	0
32	3.16	0
33	3.16	0
34	3.16	0
35	2	0
36	1.58	0
37	1.58	0
38	3.16	0
39	3.16	0
40	3.16	0
41	3.16	0
42	3.16	0
43	3.16	0
44	2	0
45	1.41	0
46	3.16	0
47	2	0
48	3.98	0
49	3.16	5
50	10	0
51	3.16	2
52	2.51	0
53	2	3
54	2	0
55	3.16	3.16
56	2	3.16
57	3.16	0
58	2.51	5
59	2	0
60	2.51	0
61	2.51	0
62	2.51	0
63	2.51	0
64	2.51	0
65	2.51	0
66	2.51	0
67	3.98	0
68	3.98	0
69	3	5
70	2	2
71	2	2
72	2	0
73	2	2
74	2.51	0
75	2	2
76	6.31	0
77	2.51	0
78	1.58	0
79	3.16	0
80	3.16	0
81	10	0
82	2.51	2.51
83	1.58	0
84	1.58	1.58
85	1.41	0
86	3.16	0
87	3.16	0
88	3.16	0
89	10	0
90	3	0
91	3	0
92	3	0
93	3	0
94	2	2
95	2	0
96	2	0
97	2	0
98	1.26	0
99	2	0
100	2	0
101	2	0
102	5	0
103	1.58	0
104	2	0
105	5	0
106	10	0
107	10	0
108	10	0
109	10	0
110	3	0
111	3.16	0
112	1.58	0
113	3.98	0
114	2.51	0
115	2.51	0
116	5	0
117	10	0
118	10	0
119	5	0
120	2.51	0
121	3.16	0
122	5	0
123	10	0
124	3.16	0
125	2	0
126	10	0
127	10	0
128	10	0
129	1.58	0
130	1.26	1.26
131	2	0
132	10	0
133	10	0
134	5.01	0
135	2	0
136	3.16	0
137	3	0
138	5	0
139	2	5
140	5	0
141	2	0
142	3.16	0
143	3.16	0
144	2	0
145	2	5
146	2	0
147	3	0
148	2	0
149	3	0
150	3	0
151	2	0
152	2	0
153	2	0
154	2	0
155	2	0
156	2	2
157	2	0
158	3	0
159	1.58	0
160	1.58	0
161	1.58	0
162	2	0
163	1.58	0
164	2	0
165	2	0
166	3.16	0
167	2	0
168	2	0
169	2	0
170	3.16	0
171	2	0
172	2	5
173	5	0
174	5	0
175	5	0
176	2	0
177	10	0
178	2	0
179	3.16	0
180	5	0
181	2	2
182	5	0
183	5	0
184	3.16	0
185	10	0
186	4	0
187	2	0
188	5	0
189	5	0
190	5	0
191	3	0
192	5	0
193	5	0
194	5	0
195	2	0
196	2	5
197	2	0
198	1.58	0
199	1.58	0
200	5	0
201	5	0
202	5	0
203	5	0
204	3.16	2
205	2	0
206	3	0
207	1.5	0
208	10	0
209	1.5	0
210	1.3	2
211	2	0
212	2	2
213	2	0
214	3	0
215	2	0
216	2	0
217	10	0
